City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
186,Mnogovershinnyy,RU,2022-01-25 02:20:54,53.9353,139.9242,1.83,84,23,4.38
187,Auki,SB,2022-01-25 02:20:54,-8.7676,160.7034,85.33,72,100,6.35
188,Esperance,AU,2022-01-25 02:20:54,-33.8667,121.9,68.38,72,83,15.28
189,Cabo San Lucas,MX,2022-01-25 02:20:55,22.8909,-109.9124,70.14,69,20,0.0
190,Codrington,AU,2022-01-25 02:20:55,-38.2667,141.9667,85.24,39,45,17.31
191,Jalu,LY,2022-01-25 02:20:55,29.0331,21.5482,49.03,70,19,5.84
192,Barrow,US,2022-01-25 02:20:56,71.2906,-156.7887,12.22,85,100,13.8
193,Niamey,NE,2022-01-25 02:19:24,13.5137,2.1098,68.29,15,0,13.8
194,Orimattila,FI,2022-01-25 02:20:56,60.8049,25.7296,31.87,85,7,8.08
195,Clyde River,CA,2022-01-25 02:20:56,70.4692,-68.5914,-1.97,78,100,26.46
196,Kodinsk,RU,2022-01-25 02:19:55,58.6881,99.1844,-8.75,100,92,2.51
197,Sibu,MY,2022-01-25 02:20:57,2.3,111.8167,82.71,78,20,4.61
198,Yar-Sale,RU,2022-01-25 02:20:57,66.8333,70.8333,3.13,96,25,13.15
199,Sitka,US,2022-01-25 02:20:57,57.0531,-135.33,44.49,81,100,9.22
200,Makhinjauri,GE,2022-01-25 02:16:18,41.6739,41.694,37.26,93,75,6.91
201,Okhotsk,RU,2022-01-25 02:20:58,59.3833,143.3,-14.06,83,17,9.31
202,Maltahohe,NA,2022-01-25 02:20:58,-24.8333,16.9833,72.05,40,0,8.16
203,Norman Wells,CA,2022-01-25 02:20:58,65.282,-126.8329,12.24,79,75,6.91
204,Erenhot,CN,2022-01-25 02:20:59,43.6475,111.9767,6.75,80,10,10.98
205,Altay,CN,2022-01-25 02:20:59,47.8667,88.1167,-1.14,63,72,7.23
206,Muktsar,IN,2022-01-25 02:20:59,30.4833,74.5167,45.82,92,0,3.06
207,Pacific Grove,US,2022-01-25 02:21:00,36.6177,-121.9166,57.97,81,0,1.99
208,Attingal,IN,2022-01-25 02:21:00,8.6833,76.8333,76.68,81,54,4.36
209,Chuy,UY,2022-01-25 02:21:00,-33.6971,-53.4616,73.62,92,100,6.55
