City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
129,Saint Andrews,US,58.78,overcast clouds,34.0454,-81.1293,Baymont by Wyndham Columbia Northwest
132,Narsaq,GL,28.62,overcast clouds,60.9167,-46.05,Sleep In Narsaq
133,Shetpe,KZ,35.38,overcast clouds,44.1667,52.1167,Rtsm Shetpe Analog
134,Trincomalee,LK,76.46,broken clouds,8.5711,81.2335,Welcombe Hotel
135,Hun,LY,45.86,broken clouds,29.1268,15.9477,Alrwasi Hotel
137,Khani,GE,27.97,overcast clouds,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
138,Vestnes,NO,43.11,light rain,62.6264,7.0884,Vestheim youth center
139,Coquimbo,CL,64.13,few clouds,-29.9533,-71.3436,Hostel Del Puerto
140,Lagoa,PT,58.69,overcast clouds,39.05,-27.9833,Casa Das Faias
141,Quatre Cocos,MU,77.11,broken clouds,-20.2078,57.7625,Sunrise Attitude Hotel
142,Nanakuli,US,82.35,few clouds,21.3906,-158.1547,Camp Pālehua
143,Souillac,MU,77.38,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
145,Williston,US,18.01,clear sky,48.147,-103.618,Hampton Inn & Suites Williston
146,Santa Marta,CO,90.34,few clouds,11.2408,-74.199,Casa de Isabella
147,Norman Wells,CA,5.04,broken clouds,65.282,-126.8329,Heritage Hotel
149,New Norfolk,AU,63.66,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
150,Cape Town,ZA,68.41,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
151,Ostrov,RU,26.33,scattered clouds,57.3439,28.3537,Ostrov-Park
152,Longyearbyen,SJ,17.44,scattered clouds,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
154,Hagi,JP,42.4,overcast clouds,34.4,131.4167,HAGIHONJIN
155,Nanortalik,GL,26.38,overcast clouds,60.1432,-45.2371,Hotel Kap Farvel
156,Namatanai,PG,82.26,light rain,-3.6667,152.4333,Seagulls Inn Namatani
157,Gurlan,UZ,17.51,scattered clouds,41.8447,60.3919,ÒJIQ OVUL
158,Itaparica,BR,84.13,overcast clouds,-12.8883,-38.6786,Pousada Nel Blu
159,Touros,BR,81.5,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
160,Qui Nhon,VN,71.78,few clouds,13.7667,109.2333,Hoang Yen Canary Hotel
161,Severo-Kurilsk,RU,20.89,scattered clouds,50.6789,156.125,Kak Doma
163,Hofn,IS,36.61,clear sky,64.2539,-15.2082,Hótel Höfn
164,Talnakh,RU,1.2,broken clouds,69.4865,88.3972,Talnakh Hotel
165,San Patricio,US,65.12,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
166,Olafsvik,IS,32.7,overcast clouds,64.8945,-23.7142,Hotel Olafsvik
167,Ancud,CL,70.23,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
168,Mogadishu,SO,76.95,clear sky,2.0371,45.3438,Hotel Juba
169,Los Llanos De Aridane,ES,60.55,broken clouds,28.6585,-17.9182,Valle Aridane
170,Hasaki,JP,37.8,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
171,Goderich,CA,16.92,overcast clouds,43.7501,-81.7165,Harmony Inn
172,Husavik,IS,35.51,overcast clouds,66.0449,-17.3389,Bjarnabúð
174,Mehran,IR,49.48,clear sky,33.1222,46.1646,بوتیک زنانه بهار
175,Ilulissat,GL,14.02,broken clouds,69.2167,-51.1,Hotel Arctic
176,San Cristobal,VE,78.98,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
177,Juba,SS,81.7,broken clouds,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
178,Hue,VN,71.71,mist,16.4667,107.6,Saigon Morin Hotel
179,Port Moresby,PG,83.62,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
180,Dwarka,IN,65.48,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
181,Grindavik,IS,33.75,broken clouds,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
182,Khatanga,RU,3.96,broken clouds,71.9667,102.5,"""Khatanga"""
183,Piacabucu,BR,80.33,overcast clouds,-10.4056,-36.4344,Piaçabuçu News
185,Port Hawkesbury,CA,35.19,light snow,45.6169,-61.3485,MacKenzie House Tourist Home B&B
186,Hermanus,ZA,63.81,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
187,Tawang,IN,24.24,broken clouds,27.5833,91.8667,Hotel Mount View
188,Hongjiang,CN,40.39,overcast clouds,27.11,109.9956,洪江大酒店
189,Lebu,CL,61.9,clear sky,-37.6167,-73.65,Hostal Las Lilas
