City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
125,Changji,CN,44.0167,87.3167,7.59,85,75,2.24,mist
126,Egvekinot,RU,66.3167,-179.1667,-29.43,87,89,1.72,overcast clouds
127,Te Anau,NZ,-45.4167,167.7167,53.76,79,74,1.59,broken clouds
128,Palmer,US,42.1584,-72.3287,35.22,65,20,9.22,few clouds
129,Saint Andrews,US,34.0454,-81.1293,58.78,52,100,9.22,overcast clouds
130,Lac Du Bonnet,CA,50.2536,-96.0612,-8.46,92,100,5.97,overcast clouds
131,Matagami,CA,49.7502,-77.6328,-14.69,70,0,5.75,clear sky
132,Narsaq,GL,60.9167,-46.05,28.62,69,100,10.22,overcast clouds
133,Shetpe,KZ,44.1667,52.1167,35.38,93,93,5.79,overcast clouds
134,Trincomalee,LK,8.5711,81.2335,76.46,73,77,5.59,broken clouds
135,Hun,LY,29.1268,15.9477,45.86,70,71,8.52,broken clouds
136,Ouallam,NE,14.3188,2.0866,66.76,14,0,11.88,clear sky
137,Khani,GE,41.9563,42.9566,27.97,81,100,6.46,overcast clouds
138,Vestnes,NO,62.6264,7.0884,43.11,93,100,13.4,light rain
139,Coquimbo,CL,-29.9533,-71.3436,64.13,77,20,11.5,few clouds
140,Lagoa,PT,39.05,-27.9833,58.69,80,95,9.22,overcast clouds
141,Quatre Cocos,MU,-20.2078,57.7625,77.11,71,75,15.32,broken clouds
142,Nanakuli,US,21.3906,-158.1547,82.35,55,20,10.36,few clouds
143,Souillac,MU,-20.5167,57.5167,77.38,69,40,11.5,light rain
144,Yelizovo,RU,53.1873,158.3805,-1.89,70,0,8.99,clear sky
145,Williston,US,48.147,-103.618,18.01,82,2,5.93,clear sky
146,Santa Marta,CO,11.2408,-74.199,90.34,59,20,15.01,few clouds
147,Norman Wells,CA,65.282,-126.8329,5.04,85,75,5.75,broken clouds
148,Cherskiy,RU,68.75,161.3,-43.29,100,89,5.32,overcast clouds
149,New Norfolk,AU,-42.7826,147.0587,63.66,66,100,1.01,overcast clouds
150,Cape Town,ZA,-33.9258,18.4232,68.41,75,0,5.99,clear sky
151,Ostrov,RU,57.3439,28.3537,26.33,99,31,4.81,scattered clouds
152,Longyearbyen,SJ,78.2186,15.6401,17.44,57,40,19.57,scattered clouds
153,Provideniya,RU,64.3833,-173.3,-7.49,64,0,2.24,clear sky
154,Hagi,JP,34.4,131.4167,42.4,73,100,11.41,overcast clouds
155,Nanortalik,GL,60.1432,-45.2371,26.38,90,100,9.64,overcast clouds
156,Namatanai,PG,-3.6667,152.4333,82.26,78,89,4.23,light rain
157,Gurlan,UZ,41.8447,60.3919,17.51,91,45,6.49,scattered clouds
158,Itaparica,BR,-12.8883,-38.6786,84.13,85,98,9.73,overcast clouds
159,Touros,BR,-5.1989,-35.4608,81.5,75,100,13.09,overcast clouds
160,Qui Nhon,VN,13.7667,109.2333,71.78,92,16,5.28,few clouds
161,Severo-Kurilsk,RU,50.6789,156.125,20.89,63,43,6.53,scattered clouds
162,Beroroha,MG,-21.6667,45.1667,74.66,67,33,3.87,scattered clouds
163,Hofn,IS,64.2539,-15.2082,36.61,54,0,13.09,clear sky
164,Talnakh,RU,69.4865,88.3972,1.2,96,74,13.0,broken clouds
165,San Patricio,US,28.017,-97.5169,65.12,44,0,10.25,clear sky
166,Olafsvik,IS,64.8945,-23.7142,32.7,69,100,17.31,overcast clouds
167,Ancud,CL,-41.8697,-73.8203,70.23,68,5,3.4,clear sky
168,Mogadishu,SO,2.0371,45.3438,76.95,73,1,23.02,clear sky
169,Los Llanos De Aridane,ES,28.6585,-17.9182,60.55,62,75,5.01,broken clouds
170,Hasaki,JP,35.7333,140.8333,37.8,88,100,18.84,overcast clouds
171,Goderich,CA,43.7501,-81.7165,16.92,92,100,5.75,overcast clouds
172,Husavik,IS,66.0449,-17.3389,35.51,96,100,32.73,overcast clouds
173,Stepnyak,KZ,52.8339,70.7803,14.88,76,100,14.36,overcast clouds
174,Mehran,IR,33.1222,46.1646,49.48,43,0,2.95,clear sky
175,Ilulissat,GL,69.2167,-51.1,14.02,57,75,27.63,broken clouds
176,San Cristobal,VE,7.7669,-72.225,78.98,58,98,1.77,overcast clouds
177,Juba,SS,4.8517,31.5825,81.7,26,73,2.53,broken clouds
178,Hue,VN,16.4667,107.6,71.71,94,75,2.3,mist
179,Port Moresby,PG,-9.4431,147.1797,83.62,79,40,5.75,haze
180,Dwarka,IN,22.2394,68.9678,65.48,45,0,9.42,clear sky
181,Grindavik,IS,63.8424,-22.4338,33.75,93,75,14.97,broken clouds
182,Khatanga,RU,71.9667,102.5,3.96,83,53,16.8,broken clouds
183,Piacabucu,BR,-10.4056,-36.4344,80.33,77,90,13.69,overcast clouds
